Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - Median age (years),Percent; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Estimate; RACE - Total population,Percent; RACE - Total population,Estimate; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Estimate; RACE - One race,Percent; RACE - One race,Estimate; RACE - Two or more races,Percent; RACE - Two or more races,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total housing units,Percent; HISPANIC OR LATINO AND RACE - Total housing units,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
8600000US10026,10026, 10026,40105,40105,3233,8.1,9132,22.8,5426,13.5,6149,15.3,2303,5.7,1831,4.6,2242,5.6,34.4,(X),32414,32414,3848,3848,40105,40105,1385,3.5,38720,96.5,1385,3.5,40105,40105,11714,29.2,22174,55.3,192,0.5,2653,6.6,221,0.6,4588,11.4,40105,40105,8694,21.7,950,2.4,3532,8.8,131,0.3,4081,10.2,31411,78.3,17085,(X),27731,27731
8600000US10027,10027, 10027,65365,65365,8615,13.2,13363,20.4,8107,12.4,7374,11.3,3360,5.1,2828,4.3,3664,5.6,30.7,(X),53704,53704,6499,6499,65365,65365,2490,3.8,62875,96.2,2490,3.8,65365,65365,22244,34,27536,42.1,1079,1.7,7131,10.9,54,0.1,10017,15.3,65365,65365,15761,24.1,1260,1.9,5311,8.1,339,0.5,8851,13.5,49604,75.9,26298,(X),43858,43858
8600000US10028,10028, 10028,50091,50091,1478,3,13714,27.4,6890,13.8,6253,12.5,2790,5.6,2779,5.5,5043,10.1,38.8,(X),43278,43278,9185,9185,50091,50091,1080,2.2,49011,97.8,1080,2.2,50091,50091,44439,88.7,994,2,40,0.1,5233,10.4,14,0,469,0.9,50091,50091,3295,6.6,598,1.2,480,1,325,0.6,1892,3.8,46796,93.4,29368,(X),38630,38630
8600000US10029,10029, 10029,80866,80866,6928,8.6,15965,19.7,10422,12.9,9163,11.3,4625,5.7,4472,5.5,5267,6.5,34,(X),64545,64545,10532,10532,80866,80866,2652,3.3,78214,96.7,2652,3.3,80866,80866,28300,35,25825,31.9,1163,1.4,8434,10.4,279,0.3,19716,24.4,80866,80866,38610,47.7,5614,6.9,20273,25.1,621,0.8,12102,15,42256,52.3,33769,(X),54550,54550
8600000US10030,10030, 10030,30163,30163,2591,8.6,6297,20.9,4496,14.9,4520,15,1325,4.4,1440,4.8,1705,5.7,34.7,(X),24592,24592,3074,3074,30163,30163,1785,5.9,28378,94.1,1785,5.9,30163,30163,5965,19.8,21145,70.1,448,1.5,954,3.2,141,0.5,3374,11.2,30163,30163,7679,25.5,753,2.5,2432,8.1,129,0.4,4365,14.5,22484,74.5,13563,(X),21244,21244
8600000US10031,10031, 10031,62382,62382,6497,10.4,13900,22.3,8307,13.3,8996,14.4,3328,5.3,3301,5.3,3817,6.1,34.8,(X),52386,52386,6952,6952,62382,62382,10462,16.8,51920,83.2,10462,16.8,62382,62382,29130,46.7,27550,44.2,1277,2,3529,5.7,90,0.1,11645,18.7,62382,62382,31640,50.7,3786,6.1,2988,4.8,712,1.1,24154,38.7,30742,49.3,23957,(X),40606,40606
8600000US10032,10032, 10032,63185,63185,5846,9.3,15514,24.6,7928,12.5,7449,11.8,4217,6.7,3445,5.5,3989,6.3,34.6,(X),53596,53596,8057,8057,63185,63185,6570,10.4,56615,89.6,6570,10.4,63185,63185,23003,36.4,14839,23.5,4421,7,3306,5.2,188,0.3,24854,39.3,63185,63185,42004,66.5,6004,9.5,3598,5.7,710,1.1,31692,50.2,21181,33.5,22226,(X),39650,39650
8600000US10033,10033, 10033,60810,60810,4881,8,12331,20.3,8600,14.1,7401,12.2,3697,6.1,3175,5.2,4844,8,36,(X),50074,50074,8516,8516,60810,60810,5025,8.3,55785,91.7,5025,8.3,60810,60810,28318,46.6,8464,13.9,2904,4.8,1563,2.6,101,0.2,25180,41.4,60810,60810,41852,68.8,3160,5.2,3038,5,886,1.5,34768,57.2,18958,31.2,20654,(X),36566,36566
8600000US10034,10034, 10034,44186,44186,2996,6.8,7920,17.9,6837,15.5,5779,13.1,2143,4.8,2952,6.7,3461,7.8,36.4,(X),35408,35408,5727,5727,44186,44186,2430,5.5,41756,94.5,2430,5.5,44186,44186,18168,41.1,5993,13.6,739,1.7,1420,3.2,132,0.3,20414,46.2,44186,44186,32005,72.4,2953,6.7,2971,6.7,384,0.9,25697,58.2,12181,27.6,16724,(X),26273,26273
8600000US10035,10035, 10035,35366,35366,2799,7.9,6489,18.3,5240,14.8,5090,14.4,2302,6.5,1620,4.6,2520,7.1,36.5,(X),28835,28835,4430,4430,35366,35366,1489,4.2,33877,95.8,1489,4.2,35366,35366,8484,24,15033,42.5,563,1.6,2249,6.4,85,0.2,10632,30.1,35366,35366,16706,47.2,4250,12,6451,18.2,234,0.7,5771,16.3,18660,52.8,15233,(X),23158,23158
8600000US10036,10036, 10036,26868,26868,2676,10,7928,29.5,4527,16.8,3784,14.1,1682,6.3,1530,5.7,1871,7,37.1,(X),25186,25186,2857,2857,26868,26868,587,2.2,26281,97.8,587,2.2,26868,26868,17850,66.4,2321,8.6,222,0.8,5301,19.7,32,0.1,1836,6.8,26868,26868,5271,19.6,606,2.3,1946,7.2,357,1.3,2362,8.8,21597,80.4,19522,(X),19286,19286
8600000US10037,10037, 10037,21184,21184,1209,5.7,4211,19.9,2712,12.8,2559,12.1,1178,5.6,1062,5,1309,6.2,34.4,(X),16142,16142,2889,2889,21184,21184,1165,5.5,20019,94.5,1165,5.5,21184,21184,2846,13.4,16268,76.8,397,1.9,795,3.8,23,0.1,2277,10.7,21184,21184,4977,23.5,196,0.9,2017,9.5,93,0.4,2671,12.6,16207,76.5,10534,(X),14368,14368
8600000US10038,10038, 10038,22457,22457,1642,7.3,5513,24.5,3112,13.9,2259,10.1,1264,5.6,1278,5.7,1602,7.1,35.6,(X),19735,19735,3600,3600,22457,22457,573,2.6,21884,97.4,573,2.6,22457,22457,11755,52.3,2327,10.4,234,1,7956,35.4,13,0.1,790,3.5,22457,22457,2608,11.6,71,0.3,1317,5.9,61,0.3,1159,5.2,19849,88.4,11508,(X),16697,16697
8600000US10039,10039, 10039,27203,27203,2201,8.1,4915,18.1,3396,12.5,3420,12.6,1754,6.4,1274,4.7,1442,5.3,32.8,(X),20505,20505,2824,2824,27203,27203,1209,4.4,25994,95.6,1209,4.4,27203,27203,4117,15.1,18254,67.1,890,3.3,557,2,10,0,4657,17.1,27203,27203,8322,30.6,866,3.2,1703,6.3,83,0.3,5670,20.8,18881,69.4,11827,(X),17444,17444
