Id,Id2,Geography,Estimate; Total:,Estimate; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher
8600000US10992,10992, 10992,3087,2549,48,572,879,1050,538,90,197,210,41
8600000US10993,10993, 10993,1576,870,101,241,312,216,706,96,226,315,69
8600000US10994,10994, 10994,2684,2499,35,484,569,1411,185,66,53,15,51
8600000US10996,10996, 10996,790,14,0,0,0,14,776,0,5,173,598
8600000US10998,10998, 10998,1006,816,13,244,223,336,190,23,71,66,30
8600000US11001,11001, 11001,9109,7233,448,1516,1738,3531,1876,133,389,625,729
8600000US11003,11003, 11003,12106,9621,985,2389,3275,2972,2485,239,725,906,615
8600000US11004,11004, 11004,5026,3668,207,974,1006,1481,1358,48,371,385,554
8600000US11005,11005, 11005,1306,1232,27,257,454,494,74,0,39,35,0
8600000US11010,11010, 11010,7708,6415,446,1841,1796,2332,1293,132,470,438,253
8600000US11020,11020, 11020,1901,1594,51,206,191,1146,307,37,114,137,19
8600000US11021,11021, 11021,8003,5472,162,506,666,4138,2531,207,454,616,1254
8600000US11023,11023, 11023,2947,2423,127,295,388,1613,524,91,108,131,194
8600000US11024,11024, 11024,2075,1864,104,269,461,1030,211,11,65,49,86
8600000US11030,11030, 11030,6206,5527,37,479,729,4282,679,51,163,75,390
8600000US11040,11040, 11040,12862,11400,787,2058,2644,5911,1462,68,420,230,744
8600000US11042,11042, 11042,0,0,0,0,0,0,0,0,0,0,0
8600000US11050,11050, 11050,10981,7051,140,609,1113,5189,3930,576,485,759,2110
8600000US11096,11096, 11096,2649,1130,165,387,319,259,1519,599,341,415,164
8600000US11101,11101, 11101,12474,2115,90,180,369,1476,10359,1497,2432,1986,4444
8600000US11102,11102, 11102,13627,1802,329,423,382,668,11825,1621,1961,2087,6156
8600000US11103,11103, 11103,16113,2557,483,728,367,979,13556,1198,2753,2189,7416
8600000US11104,11104, 11104,11412,2201,158,281,320,1442,9211,1019,1996,1948,4248
8600000US11105,11105, 11105,15227,4043,684,1092,828,1439,11184,1049,1825,2105,6205
8600000US11106,11106, 11106,17127,3067,280,774,384,1629,14060,1794,2385,2830,7051
8600000US11109,11109, 11109,2891,198,0,0,52,146,2693,0,108,245,2340
8600000US11201,11201, 11201,26923,10290,151,466,865,8808,16633,1190,1312,1974,12157
8600000US11203,11203, 11203,27464,11385,1077,3325,3299,3684,16079,2157,6453,4538,2931
8600000US11204,11204, 11204,24243,9136,2218,2491,1715,2712,15107,3319,4305,3463,4020
8600000US11205,11205, 11205,15843,3654,221,297,614,2522,12189,2609,2305,2532,4743
8600000US11206,11206, 11206,30516,3088,348,966,920,854,27428,8340,6464,5537,7087
8600000US11207,11207, 11207,32625,8073,1188,2746,2352,1787,24552,5841,8682,6777,3252
8600000US11208,11208, 11208,31393,8011,1477,3096,1639,1799,23382,4660,10809,5247,2666
8600000US11209,11209, 11209,29220,10849,813,2024,2011,6001,18371,1872,3283,4146,9070
8600000US11210,11210, 11210,22310,10040,673,2019,2104,5244,12270,1548,3821,3375,3526
8600000US11211,11211, 11211,38660,6426,904,1131,948,3443,32234,5426,5535,5467,15806
8600000US11212,11212, 11212,31484,4548,867,1270,1303,1108,26936,6229,9195,8150,3362
8600000US11213,11213, 11213,24731,3950,422,480,1160,1888,20781,4314,5739,5883,4845
8600000US11214,11214, 11214,31945,10916,2548,2278,2080,4010,21029,4284,5752,4437,6556
8600000US11215,11215, 11215,28880,11487,398,655,1035,9399,17393,1285,1117,1684,13307
8600000US11216,11216, 11216,23800,5113,401,676,1329,2707,18687,2791,4080,3709,8107
8600000US11217,11217, 11217,16856,5174,203,254,455,4262,11682,1074,1357,1398,7853
8600000US11218,11218, 11218,24967,8907,893,1540,1702,4772,16060,2637,3121,2684,7618
8600000US11219,11219, 11219,25240,6702,1853,2329,1111,1409,18538,5766,6239,3310,3223
8600000US11220,11220, 11220,28766,7290,2223,1619,1191,2257,21476,10689,4165,2634,3988
8600000US11221,11221, 11221,29818,6560,1043,1248,1617,2652,23258,5677,5749,5645,6187
8600000US11222,11222, 11222,17508,3306,391,926,592,1397,14202,1109,2127,2511,8455
8600000US11223,11223, 11223,27527,9752,1859,2709,1883,3301,17775,3458,4813,3563,5941
8600000US11224,11224, 11224,18551,5245,434,836,1333,2642,13306,2977,3199,3062,4068
8600000US11225,11225, 11225,23462,3604,314,401,1022,1867,19858,2704,4708,4853,7593
8600000US11226,11226, 11226,36677,4682,343,1137,891,2311,31995,5221,10630,7208,8936
8600000US11228,11228, 11228,15033,8482,1457,2252,1638,3135,6551,1280,1891,1552,1828
8600000US11229,11229, 11229,31058,14874,1573,3669,3130,6502,16184,2169,4295,3610,6110
8600000US11230,11230, 11230,30831,8872,623,1721,1611,4917,21959,4225,4740,4466,8528
8600000US11231,11231, 11231,15562,4641,174,523,474,3470,10921,2095,1427,1547,5852
8600000US11232,11232, 11232,8808,2270,563,320,332,1055,6538,1985,1582,872,2099
8600000US11233,11233, 11233,28424,6268,677,1591,1679,2321,22156,5146,6832,5380,4798
