GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
8600000US13071,13071,ZCTA5 13071,629,73,40,16,221,52,187,39,124,38,57,22,570,64,36,15,202,46,180,35,107,36,45,19,30,22,4,4,9,7,7,12,10,16,0,11,18,20,0,11,10,16,0,11,3,5,5,7,7,9,0,11,0,11,0,11,0,11,7,9,4,6,0,11,0,11,0,11,4,6,0,11
8600000US13072,13072,ZCTA5 13072,501,93,103,45,220,57,145,35,22,14,11,7,485,88,99,45,210,54,143,35,22,14,11,7,8,8,4,5,4,5,0,11,0,11,0,11,8,10,0,11,6,10,2,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13073,13073,ZCTA5 13073,4529,357,373,114,1580,229,1453,215,721,152,402,125,4048,349,295,103,1427,219,1351,213,588,146,387,119,322,135,0,16,114,71,78,57,126,74,4,8,136,85,78,56,21,36,19,17,7,10,11,13,11,12,0,16,6,9,5,8,0,16,0,16,12,26,0,16,12,26,0,16,0,16,0,16
8600000US13074,13074,ZCTA5 13074,2909,302,416,126,1386,239,841,193,158,58,108,70,2726,288,380,120,1350,235,734,168,157,58,105,71,90,54,21,24,36,24,33,33,0,11,0,11,70,90,7,8,0,11,62,90,1,3,0,11,22,22,8,13,0,11,12,18,0,11,2,4,1,3,0,11,0,11,0,11,0,11,1,3
8600000US13076,13076,ZCTA5 13076,1715,174,257,99,851,159,473,96,76,41,58,54,1683,170,225,88,851,159,473,96,76,41,58,54,0,11,0,11,0,11,0,11,0,11,0,11,9,14,9,14,0,11,0,11,0,11,0,11,23,25,23,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13077,13077,ZCTA5 13077,4729,289,467,173,1266,274,1595,290,729,155,672,230,4515,307,458,171,1220,270,1524,285,700,155,613,219,161,88,0,16,43,42,53,42,13,20,52,65,50,37,9,14,0,16,18,19,16,19,7,11,3,6,0,16,3,6,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
8600000US13078,13078,ZCTA5 13078,7712,508,601,197,1554,280,1805,297,1805,239,1947,337,6413,451,390,132,1278,259,1403,248,1655,228,1687,329,1003,344,189,133,235,107,338,195,78,52,163,107,99,58,22,14,32,22,42,54,3,5,0,18,149,119,0,18,9,13,17,20,36,38,87,96,48,34,0,18,0,18,5,8,33,30,10,14
8600000US13080,13080,ZCTA5 13080,2398,224,295,82,712,156,764,127,458,110,169,52,2314,223,295,82,684,160,720,127,451,111,164,51,58,36,0,11,17,15,34,28,7,11,0,11,13,16,0,11,8,13,0,11,0,11,5,9,13,12,0,11,3,4,10,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13081,13081,ZCTA5 13081,815,94,40,21,235,46,241,50,154,34,145,37,737,92,32,18,218,44,228,51,126,31,133,37,32,17,6,9,12,9,3,4,11,10,0,11,21,20,0,11,3,6,10,15,8,10,0,11,25,20,2,3,2,3,0,11,9,13,12,14,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13082,13082,ZCTA5 13082,3499,372,331,133,1142,247,1137,233,567,155,322,136,3260,376,276,108,1081,248,1038,223,558,154,307,137,119,60,55,56,47,35,8,13,9,15,0,11,109,76,0,11,14,23,80,73,0,11,15,24,11,19,0,11,0,11,11,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
