GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC03_VC03,HC01_VC13,HC03_VC13,HC01_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC24,HC02_VC24,HC03_VC24,HC04_VC24,HC01_VC35,HC02_VC35,HC03_VC35,HC04_VC35,HC01_VC41,HC02_VC41,HC03_VC41,HC04_VC41,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC113,HC02_VC113,HC03_VC113,HC04_VC113
8600000US14136,14136,ZCTA5 14136,5027,5027,333,6.6,649,12.9,2.4,477,112,9.5,2.3,652,145,13,2.7,468,97,9.3,1.9,337,80,6.7,1.6,469,97,9.3,2,42.6,4.4,(X),(X),3900,214,3900,(X),875,108,875,(X),5027,300,5027,(X),97,50,1.9,1,4930,304,98.1,1,97,50,1.9,1,5027,300,5027,(X),4929,313,98.1,1,80,51,1.6,1,99,57,2,1.1,18,21,0.4,0.4,0,16,0,0.6,18,19,0.4,0.4,5027,300,5027,(X),188,181,3.7,3.6,0,16,0,0.6,171,181,3.4,3.6,0,16,0,0.6,17,19,0.3,0.4,4839,318,96.3,3.6,2500,156,(X),(X),3863,209,3863,(X)
8600000US14138,14138,ZCTA5 14138,1992,1992,135,6.8,214,10.7,2.4,151,40,7.6,2.1,342,80,17.2,3.7,144,39,7.2,2,113,38,5.7,2.1,129,31,6.5,1.6,36.7,9.1,(X),(X),1431,145,1431,(X),308,64,308,(X),1992,268,1992,(X),28,37,1.4,1.9,1964,266,98.6,1.9,28,37,1.4,1.9,1992,268,1992,(X),1957,270,98.2,1.2,32,44,1.6,2.2,9,13,0.5,0.7,0,11,0,1.5,0,11,0,1.5,22,20,1.1,1,1992,268,1992,(X),45,33,2.3,1.6,0,11,0,1.5,45,33,2.3,1.6,0,11,0,1.5,0,11,0,1.5,1947,263,97.7,1.6,921,81,(X),(X),1431,145,1431,(X)
8600000US14139,14139,ZCTA5 14139,2496,2496,63,2.5,289,11.6,6.5,341,138,13.7,3.8,494,135,19.8,5,169,76,6.8,3.2,110,61,4.4,2.5,284,100,11.4,4,42.7,6.1,(X),(X),1905,268,1905,(X),414,118,414,(X),2496,430,2496,(X),0,11,0,1.2,2496,430,100,1.2,0,11,0,1.2,2496,430,2496,(X),2313,385,92.7,7.1,1,3,0,0.1,0,11,0,1.2,171,195,6.9,7.5,0,11,0,1.2,11,18,0.4,0.8,2496,430,2496,(X),29,48,1.2,2,27,48,1.1,2,0,11,0,1.2,0,11,0,1.2,2,5,0.1,0.2,2467,440,98.8,2,1093,161,(X),(X),1858,257,1858,(X)
8600000US14141,14141,ZCTA5 14141,7423,7423,289,3.9,637,8.6,2.1,983,167,13.2,2.1,1247,182,16.8,2.3,570,119,7.7,1.6,454,138,6.1,1.9,726,152,9.8,2,44.9,3.5,(X),(X),5758,277,5758,(X),1432,178,1432,(X),7423,272,7423,(X),46,45,0.6,0.6,7377,271,99.4,0.6,46,45,0.6,0.6,7423,272,7423,(X),7224,302,97.3,1.7,99,92,1.3,1.2,98,99,1.3,1.3,36,41,0.5,0.6,0,16,0,0.4,12,27,0.2,0.4,7423,272,7423,(X),100,109,1.3,1.5,26,43,0.4,0.6,0,16,0,0.4,0,16,0,0.4,74,101,1,1.4,7323,285,98.7,1.5,3463,197,(X),(X),5715,281,5715,(X)
8600000US14143,14143,ZCTA5 14143,1154,1154,55,4.8,145,12.6,6.4,121,57,10.5,4.3,143,59,12.4,4.1,83,42,7.2,3.8,82,35,7.1,3.2,204,70,17.7,6.1,47.1,7.1,(X),(X),977,195,977,(X),296,97,296,(X),1154,227,1154,(X),34,41,2.9,3.4,1120,219,97.1,3.4,34,41,2.9,3.4,1154,227,1154,(X),1123,227,97.3,2.5,45,47,3.9,3.9,4,7,0.3,0.6,16,21,1.4,1.8,0,11,0,2.6,0,11,0,2.6,1154,227,1154,(X),5,8,0.4,0.7,0,11,0,2.6,0,11,0,2.6,0,11,0,2.6,5,8,0.4,0.7,1149,227,99.6,0.7,571,79,(X),(X),973,195,973,(X)
8600000US14145,14145,ZCTA5 14145,1650,1650,102,6.2,92,5.6,2.2,188,72,11.4,4,285,74,17.3,3.7,105,44,6.4,3,153,67,9.3,4,176,53,10.7,3.6,46,5.7,(X),(X),1262,161,1262,(X),298,57,298,(X),1650,222,1650,(X),0,11,0,1.8,1650,222,100,1.8,0,11,0,1.8,1650,222,1650,(X),1598,219,96.8,2.7,14,23,0.8,1.4,38,41,2.3,2.5,0,11,0,1.8,0,11,0,1.8,0,11,0,1.8,1650,222,1650,(X),6,12,0.4,0.7,0,11,0,1.8,0,11,0,1.8,0,11,0,1.8,6,12,0.4,0.7,1644,223,99.6,0.7,697,85,(X),(X),1262,161,1262,(X)
8600000US14150,14150,ZCTA5 14150,40930,40930,2442,6,5882,14.4,1.1,3581,366,8.7,0.9,6334,490,15.5,1.2,3006,321,7.3,0.8,3106,378,7.6,0.9,3964,310,9.7,0.8,46.3,1,(X),(X),33692,518,33692,(X),8658,311,8658,(X),40930,704,40930,(X),1243,397,3,1,39687,757,97,1,1243,397,3,1,40930,704,40930,(X),38448,733,93.9,1.1,1855,406,4.5,1,602,225,1.5,0.5,928,309,2.3,0.8,6,11,0,0.1,516,237,1.3,0.6,40930,704,40930,(X),1424,348,3.5,0.9,84,53,0.2,0.1,1126,304,2.8,0.7,1,4,0,0.1,213,138,0.5,0.3,39506,787,96.5,0.9,20037,393,(X),(X),32843,507,32843,(X)
8600000US14167,14167,ZCTA5 14167,1718,1718,131,7.6,228,13.3,3.5,142,50,8.3,2.6,244,62,14.2,3.7,157,43,9.1,2.4,153,55,8.9,3.1,228,54,13.3,3,45.1,4.1,(X),(X),1393,148,1393,(X),307,58,307,(X),1718,188,1718,(X),0,11,0,1.7,1718,188,100,1.7,0,11,0,1.7,1718,188,1718,(X),1661,193,96.7,3.7,44,64,2.6,3.8,0,11,0,1.7,3,6,0.2,0.3,0,11,0,1.7,10,16,0.6,1,1718,188,1718,(X),14,18,0.8,1,10,16,0.6,1,0,11,0,1.7,0,11,0,1.7,4,6,0.2,0.3,1704,188,99.2,1,814,81,(X),(X),1383,149,1383,(X)
8600000US14168,14168,ZCTA5 14168,79,79,0,0,27,34.2,20.1,3,5,3.8,6.9,0,11,0,30.6,2,5,2.5,10.9,3,4,3.8,10,0,11,0,30.6,13.6,22.1,(X),(X),35,36,35,(X),0,11,0,(X),79,78,79,(X),0,11,0,30.6,79,78,100,30.6,0,11,0,30.6,79,78,79,(X),79,78,100,30.6,0,11,0,30.6,0,11,0,30.6,0,11,0,30.6,0,11,0,30.6,0,11,0,30.6,79,78,79,(X),44,63,55.7,40.8,0,11,0,30.6,44,63,55.7,40.8,0,11,0,30.6,0,11,0,30.6,35,31,44.3,40.8,13,13,(X),(X),35,36,35,(X)
8600000US14169,14169,ZCTA5 14169,132,132,0,0,0,0,20.2,28,32,21.2,24.3,23,35,17.4,24.3,6,9,4.5,7.9,0,11,0,20.2,23,27,17.4,18.3,42.8,13.8,(X),(X),87,47,87,(X),30,34,30,(X),132,72,132,(X),0,11,0,20.2,132,72,100,20.2,0,11,0,20.2,132,72,132,(X),132,72,100,20.2,0,11,0,20.2,0,11,0,20.2,0,11,0,20.2,0,11,0,20.2,0,11,0,20.2,132,72,132,(X),0,11,0,20.2,0,11,0,20.2,0,11,0,20.2,0,11,0,20.2,0,11,0,20.2,132,72,100,20.2,67,36,(X),(X),87,47,87,(X)
8600000US14170,14170,ZCTA5 14170,2681,2681,196,7.3,189,7,3.7,342,135,12.8,4.4,383,155,14.3,5.4,297,167,11.1,5.6,265,104,9.9,4.1,207,87,7.7,3.4,43.8,7,(X),(X),2055,328,2055,(X),347,126,347,(X),2681,419,2681,(X),57,81,2.1,2.9,2624,404,97.9,2.9,57,81,2.1,2.9,2681,419,2681,(X),2681,419,100,1.1,57,81,2.1,2.9,0,11,0,1.1,0,11,0,1.1,0,11,0,1.1,0,11,0,1.1,2681,419,2681,(X),114,201,4.3,7.3,0,11,0,1.1,114,201,4.3,7.3,0,11,0,1.1,0,11,0,1.1,2567,421,95.7,7.3,1087,176,(X),(X),2039,328,2039,(X)
8600000US14171,14171,ZCTA5 14171,2219,2219,175,7.9,201,9.1,2.7,278,77,12.5,2.8,321,91,14.5,3.9,140,51,6.3,2.3,145,50,6.5,2.5,265,62,11.9,3,41,4.4,(X),(X),1696,189,1696,(X),389,79,389,(X),2219,305,2219,(X),119,71,5.4,3.1,2100,294,94.6,3.1,119,71,5.4,3.1,2219,305,2219,(X),2204,303,99.3,0.7,81,57,3.7,2.5,41,45,1.8,2,3,5,0.1,0.2,0,11,0,1.3,9,12,0.4,0.6,2219,305,2219,(X),21,30,0.9,1.3,0,11,0,1.3,21,30,0.9,1.3,0,11,0,1.3,0,11,0,1.3,2198,304,99.1,1.3,1061,108,(X),(X),1691,189,1691,(X)
8600000US14172,14172,ZCTA5 14172,2826,2826,66,2.3,196,6.9,2.4,456,140,16.1,3.7,413,105,14.6,3.4,231,75,8.2,2.6,218,67,7.7,2.5,385,105,13.6,4,45.5,6.1,(X),(X),2205,233,2205,(X),574,111,574,(X),2826,374,2826,(X),15,16,0.5,0.6,2811,374,99.5,0.6,15,16,0.5,0.6,2826,374,2826,(X),2750,372,97.3,1.6,66,46,2.3,1.6,5,6,0.2,0.2,9,10,0.3,0.4,0,11,0,1.1,11,13,0.4,0.5,2826,374,2826,(X),0,11,0,1.1,0,11,0,1.1,0,11,0,1.1,0,11,0,1.1,0,11,0,1.1,2826,374,100,1.1,1560,146,(X),(X),2187,232,2187,(X)
8600000US14173,14173,ZCTA5 14173,361,361,14,3.9,13,3.6,6.7,57,56,15.8,12,53,53,14.7,11.3,78,70,21.6,17.9,50,55,13.9,15.1,35,42,9.7,11.1,46.6,22.1,(X),(X),308,163,308,(X),43,43,43,(X),361,206,361,(X),0,11,0,8,361,206,100,8,0,11,0,8,361,206,361,(X),361,206,100,8,0,11,0,8,0,11,0,8,0,11,0,8,0,11,0,8,0,11,0,8,361,206,361,(X),0,11,0,8,0,11,0,8,0,11,0,8,0,11,0,8,0,11,0,8,361,206,100,8,164,84,(X),(X),308,163,308,(X)
