GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Margin of Error; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Margin of Error; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Margin of Error; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Margin of Error; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Margin of Error; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Margin of Error; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Margin of Error; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher,Margin of Error; Renter-occupied housing units: - Bachelor's degree or higher
8600000US14411,14411,ZCTA5 14411,4981,250,3431,297,302,105,1303,182,951,201,875,197,1550,249,298,154,778,241,447,161,27,36
8600000US14414,14414,ZCTA5 14414,2963,181,2118,188,73,45,482,132,709,166,854,155,845,157,45,35,360,113,360,125,80,53
8600000US14415,14415,ZCTA5 14415,76,36,62,30,27,28,20,20,10,12,5,8,14,23,0,11,14,23,0,11,0,11
8600000US14416,14416,ZCTA5 14416,1427,122,1103,128,26,23,393,107,405,111,279,75,324,81,61,55,111,45,127,56,25,18
8600000US14418,14418,ZCTA5 14418,523,84,471,84,34,24,102,42,176,69,159,52,52,40,0,11,0,11,40,36,12,16
8600000US14420,14420,ZCTA5 14420,7127,313,4485,272,141,51,1048,183,1502,214,1794,233,2642,261,177,85,755,168,1123,192,587,147
8600000US14422,14422,ZCTA5 14422,964,87,793,89,82,45,248,61,293,59,170,45,171,71,5,7,71,40,69,49,26,31
8600000US14423,14423,ZCTA5 14423,1886,129,1463,107,136,60,472,87,506,93,349,78,423,116,33,20,149,84,191,78,50,30
8600000US14424,14424,ZCTA5 14424,11911,303,8169,302,230,79,1736,224,2476,271,3727,307,3742,274,166,81,1198,180,1613,224,765,186
8600000US14425,14425,ZCTA5 14425,4727,302,3314,335,11,19,614,178,1107,256,1582,211,1413,210,99,74,282,123,548,178,484,164
8600000US14427,14427,ZCTA5 14427,824,75,666,79,23,18,296,56,227,57,120,32,158,48,18,13,84,42,43,32,13,14
8600000US14428,14428,ZCTA5 14428,3114,175,2624,170,224,135,583,130,814,154,1003,189,490,145,0,16,96,51,171,89,223,141
8600000US14432,14432,ZCTA5 14432,2307,167,1822,163,125,79,494,112,698,139,505,100,485,84,76,37,157,56,201,60,51,33
8600000US14433,14433,ZCTA5 14433,1473,124,1183,133,165,51,422,77,462,110,134,47,290,60,50,29,128,49,105,45,7,8
8600000US14435,14435,ZCTA5 14435,1230,121,1114,116,86,43,302,71,399,86,327,62,116,46,15,18,39,30,46,29,16,16
8600000US14437,14437,ZCTA5 14437,4129,223,3028,232,337,97,1048,158,978,154,665,111,1101,216,247,150,465,168,349,128,40,32
8600000US14441,14441,ZCTA5 14441,148,44,109,33,21,20,32,17,23,14,33,19,39,29,0,11,25,24,10,10,4,9
